category;sub_category;title;icon;id;num_articles;
all;all;all;/img/icons/universe-svgrepo-com.svg;200;1093;
rstats;rstats;rstats;/img/icons/r-svgrepo-com.svg;205;257;
python;python;python;/img/icons/python-svgrepo-com.svg;210;50;
organization;process;organization & process;/img/icons/organization-people-group-public-svgrepo-com.svg;215;40;
organization;organization;organization & process;/img/icons/organization-people-group-public-svgrepo-com.svg;215;5;
organization;methodology;organization & process;/img/icons/organization-people-group-public-svgrepo-com.svg;215;27;
organization;workflow;organization & process;/img/icons/organization-people-group-public-svgrepo-com.svg;215;10;
organization;ecosystem;organization & process;/img/icons/organization-people-group-public-svgrepo-com.svg;215;1;
method;method;methods;/img/icons/method-chemistry-svgrepo-com.svg;220;65;
method;technique;methods;/img/icons/method-chemistry-svgrepo-com.svg;220;230;
method;design;methods;/img/icons/method-chemistry-svgrepo-com.svg;220;41;
tools;toolbox;tools;/img/icons/tools-svgrepo-com.svg;225;0;
tools;tool;tools;/img/icons/tools-svgrepo-com.svg;225;110;
tools;framework;tools;/img/icons/tools-svgrepo-com.svg;225;3;
tools;toolkit;tools;/img/icons/tools-svgrepo-com.svg;225;2;
tools;package;tools;/img/icons/tools-svgrepo-com.svg;225;93;
tools;feature;tools;/img/icons/tools-svgrepo-com.svg;225;11;
tools;function;tools;/img/icons/tools-svgrepo-com.svg;225;3;
tools;component;tools;/img/icons/tools-svgrepo-com.svg;225;2;
technology;javascript;technology;/img/icons/technology;230;28;
cautionary-tale;dubious;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;23;
cautionary-tale;peril;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;13;
cautionary-tale;punditry;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;2;
cautionary-tale;mistake;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;1;
cautionary-tale;dystopian;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;1;
cautionary-tale;challenge;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;4;
cautionary-tale;speculation;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;0;
cautionary-tale;pitfall;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;33;
cautionary-tale;viztortion;cautionary tale;/img/icons/caution-svgrepo-com.svg;235;2;
book;book;books;/img/icons/book-svgrepo-com-2.svg;240;80;
book;pdf;books;/img/icons/book-svgrepo-com-2.svg;240;1;
foundations;standard;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;2;
foundations;principle;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;6;
foundations;theory;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;5;
foundations;practice;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;4;
foundations;concept;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;29;
foundations;explainer;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;72;
foundations;overview;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;42;
foundations;fundamentals;foundations;/img/icons/sprout-tree-svgrepo-com.svg;245;14;
inspiration;poetry;inspiration;/img/icons/inspiration-art-svgrepo-com.svg;250;1;
inspiration;art;inspiration;/img/icons/inspiration-art-svgrepo-com.svg;250;125;
inspiration;award;inspiration;/img/icons/inspiration-art-svgrepo-com.svg;250;2;
inspiration;digital-art;inspiration;/img/icons/inspiration-art-svgrepo-com.svg;250;1;
inspiration;data-art;inspiration;/img/icons/inspiration-art-svgrepo-com.svg;250;3;
my-post;my-post;my posts;/img/logos/geometric-pattern-my-post.jpg;255;3;
